VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,PFIV           ,FAMÍLIA I VIDA                                    ,3
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,36
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,217
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,20
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,27
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,4
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,8
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,23
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,23
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,198
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,17
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,33
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,0
